ID,States abbreviation
1,SC
2,IA
3,FL
4,DC
5,CO
6,MD
7,GA
8,NC
8,FL
9,CO
10,NY
11,GA
12,CO
13,MS
14,IA
15,CO
16,IA
17,MD
18,OH
18,OH
18,OH
18,OH
18,OH
19,MD
20,MD
21,KY
22,IL
23,GA
24,IL
25,MD
26,MD
27,DC
28,WI
29,VA
30,MD
31,IA
32,MD
33,WI
33,PA
34,FL
35,MA
36,IL
36,TX
36,FL
36,DC
36,VA
36,MD
36,FL
37,DC
37,VA
37,MD
38,NY
39,NY
40,CA
41,CA
42,FL
43,KY
43,KY
44,CO
44,CO
45,CA
46,DC
47,NY
48,MD
49,NY
50,CA
51,MD
52,MA
53,CO
54,PA
54,NJ
55,MO
55,CO
55,CO
55,TX
55,IL
55,TX
55,TX
55,GA
55,AZ
55,AZ
55,NV
55,NC
55,FL
55,FL
55,DC
55,MD
55,CA
55,CA
55,CA
55,CA
55,FL
55,VA
55,FL
55,CA
55,PA
55,FL
55,CA
55,CA
55,CA
55,NY
55,FL
55,CA
55,CA
55,CA
55,CA
55,CA
55,CA
55,CA
55,CA
55,WA
55,FL
55,FL
55,MA
56,CA
57,NJ
58,CO
59,IL
60,HI
61,CA
62,CA
63,FL
64,MD
65,CA
66,IL
67,CA
68,KS
69,NM
70,CA
71,NY
72,CA
73,CA
74,CA
75,CA
76,MO
77,OR
78,OR
79,OR
80,CA
81,NH
82,OR
83,OR
84,OR
85,CA
86,OR
87,IL
88,CA
89,OR
90,OR
91,MS
92,FL
93,CA
94,CA
95,FL
96,FL
97,CA
98,CA
99,CA
100,CA
101,OR
102,CA
103,MD
104,TX
105,FL
106,TX
107,WV
108,NY
108,FL
109,FL
110,ID
111,IL
112,NE
112,MO
112,OK
112,IA
112,CO
112,MO
112,IL
112,TX
112,MN
112,TN
112,NM
112,IL
112,WI
112,IN
112,TX
112,IN
112,TN
112,MS
112,KY
112,TX
112,TX
112,MI
112,KY
112,OH
112,AL
112,UT
112,UT
112,LA
112,OH
112,TN
112,MI
112,GA
112,OH
112,WV
112,AZ
112,AZ
112,WV
112,PA
112,NV
112,NC
112,ID
112,SC
112,NC
112,NY
112,FL
112,VA
112,DC
112,DC
112,MD
112,CA
112,MD
112,NY
112,CA
112,CA
112,CA
112,FL
112,CA
112,CA
112,PA
112,NJ
112,CA
112,NY
112,NY
112,CA
112,NY
112,CT
112,CA
112,OR
112,CT
112,WA
112,FL
112,FL
112,MA
112,MA
112,NH
112,ME
112,AK
112,HI
112,HI
113,IL
114,LA
115,IL
116,FL
117,FL
118,LA
119,FL
120,NY
121,CT
122,CT
123,FL
123,FL
123,FL
123,FL
124,NM
125,WV
126,TX
127,TX
128,WA
129,ND
130,CA
131,CT
132,CA
133,CA
134,IL
135,KS
136,TX
137,NY
138,IA
139,CA
140,CA
141,TX
142,CA
143,WI
144,CT
145,TX
146,CA
147,FL
148,NM
148,CA
149,CA
150,FL
151,TX
152,MD
153,FL
154,CA
155,FL
156,NY
157,FL
158,MO
159,FL
